Data,Kadar Air,Tidak Larut,Klasium,Magnesium,Sulfat,NaCl(wb),NaCl(db),Grade
0,"7,82779","0,0423309","0,24028","0,80734","1,34723","83,9156","91,0422",Garam Bagus
1,"8,10811","0,590494","0,216902","0,954371","1,18318","85,012","92,513",Garam Bagus
2,"8,78378","0,0293832","0,20077","0,950314","1,11296","84,3214","92,4413",Garam Bagus
3,"7,34375","0,0821615","0,241598","0,711615","0,80274","87,9902","94,9641",Garam Bagus
4,"3,2381","0,483501","0,366321","0,329689","1,41725","91,955","95,0322",Garam Bagus
5,"7,85855","0,31164","0,336665","0,706996","1,88372","86,0038","93,3389",Garam Bagus
6,"5,73013","0,139056","0,282088","0,535967","1,39916","92,5723","98,1993",Garam Bagus
7,"9,73282","0,0279656","0,270331","0,689343","1,32111","84,1097","93,1786",Garam Bagus
8,"6,28571","0,338802","0,130124","0,481458","1,1881","91,4612","97,5958",Garam Bagus
9,"9,37","0,0283342","0,201716","1,07582","1,15354","83,9469","92,626",Garam Bagus
10,"3,2381","0,483501","0,366321","0,329689","1,41725","91,955","95,0322",Garam Bagus
11,"3,2381","0,483501","0,366321","0,329689","1,41725","91,955","95,0322",Garam Bagus
12,"9,73282","0,0279656","0,270331","0,689343","1,32111","84,1097","93,1786",Garam Bagus
13,"5,73013","0,139056","0,282088","0,535967","1,39916","92,5723","98,1993",Garam Bagus
14,"5,73013","0,139056","0,282088","0,535967","1,39916","92,5723","98,1993",Garam Bagus
15,"5,9387","0,261605","0,282579","0,720578","1,59602","88,6672","94,2654",Garam Bagus
16,"9,73282","0,0279656","0,270331","0,689343","1,32111","84,1097","93,1786",Garam Bagus
17,"5,9387","0,261605","0,282579","0,720578","1,59602","88,6672","94,2654",Garam Bagus
18,"9,2803","0,279241","0,317703","0,102642","1,39791","84,6481","93,3073",Garam Bagus
19,"7,85441","0,415753","0,286933","1,17863","1,87263","84,9045","92,1417",Garam Bagus
20,"7,85441","0,415753","0,286933","1,17863","1,87263","84,9045","92,1417",Garam Bagus
